,ELUSED,STHW,STDNRM,PKGCL,FACIL,COOK,DHUSED,ELNONLU,OTCLEQ,NWKERC,LOHRPC,PRNTYP,COOLP,OPNWE,WKHRS,FAX,ELCOOK,HT2,DHHT1,SOUSED,HEATP,NWKER,FLUORP,FURNAC,RFGEQP,CAPGEN,RCAC,OPEN24,RDCLNF,GOVOWN,CWUSED,ELMANU,MANU,RFCNS,COUSED,MAINT,WINTYP,EVAPCL,LTOHRP,HTPMPC,STUSED,DHCOOL,WATR,SQFT,BOILER,DHOTH,DAYLTP,WLCNS,SERVER,NOCC,DHCNS,YRCON,BULB,PBA,MFEXP,COOL,PCTERM,ACWNWL,MONUSE,PKGHT,AWN,FKUSED,SKYLT,ELHT2,SLFCON,FREESTN,ONEACT,ELWATR,ELCNS,OTLT,DHWATR,ELLOCUT,NGUSED,NFLOOR,CDD65,HDD65,HTPMPH,DHMANU,WOUSED,PUBID,WKHRSC,GENR,DHHT2,ELHT1,TRNGRM,TINT,RDHTNF,REFL,HT1,ELCOOL,DHEXP,WTHTEQ,OTUSED,COPIER,OTHTEQ,PRNTRN,MAINHT,HWUSED,HID,CHWT,ELEXP,DHCOOK,CHILLR,MAINCL,PRUSED,FLUOR,CFLR,STHWP,MFUSED,PCTRMC,HALO,ELOTSRC,OPNMF,HWTRM,OWNOCC
3,1,1.0,2.0,1.0,1.0,1.0,1,2.0,2.0,7.0,4.0,4.0,100.0,1.0,168.0,1.0,1.0,1,1.0,2.0,100.0,165.0,40.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,90.0,2.0,2,2.0,1,500000,2.0,2.0,20.0,6.0,1.0,1,6047.0,1983,1.0,18,623474.0,1,1.0,2.0,12.0,1.0,2.0,1,1.0,1.0,1.0,1.0,1.0,2.0,10932350.0,2.0,2.0,1.0,1,994.0,2290,2399,2.0,2.0,2.0,4,7.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1,1.0,114225.0,2.0,2.0,1.0,2.0,99.0,4.0,1,1.0,1.0,448720.0,2.0,2.0,4.0,2.0,1.0,1.0,100.0,1,5.0,1.0,2.0,1.0,1.0,1.0
4,1,1.0,2.0,1.0,1.0,2.0,1,2.0,2.0,4.0,4.0,2.0,100.0,1.0,65.0,1.0,2.0,2,1.0,2.0,100.0,19.0,100.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,6.0,2.0,1.0,1.0,2.0,100.0,2.0,2,2.0,1,30000,2.0,2.0,0.0,3.0,1.0,1,368.0,1972,2.0,2,46568.0,1,1.0,2.0,12.0,1.0,2.0,1,2.0,2.0,2.0,1.0,2.0,2.0,447453.0,2.0,1.0,2.0,2,2.0,4144,813,2.0,2.0,2.0,5,5.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1,1.0,6979.0,1.0,2.0,1.0,2.0,20.0,4.0,1,2.0,1.0,38917.0,2.0,2.0,4.0,2.0,1.0,2.0,100.0,1,4.0,2.0,1.0,1.0,1.0,1.0
6,1,1.0,1.0,2.0,1.0,1.0,1,1.0,2.0,8.0,4.0,4.0,99.0,1.0,168.0,1.0,1.0,1,1.0,2.0,100.0,350.0,99.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,90.0,2.0,1,2.0,1,800000,2.0,2.0,0.0,1.0,1.0,1,70960.0,1950,2.0,16,3489172.0,1,1.0,2.0,12.0,2.0,2.0,1,2.0,2.0,2.0,1.0,1.0,2.0,26179130.0,2.0,2.0,2.0,1,8.0,3503,1318,2.0,2.0,2.0,7,7.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1,2.0,1326033.0,1.0,2.0,1.0,2.0,332.0,4.0,2,2.0,1.0,1881365.0,1.0,2.0,4.0,2.0,1.0,1.0,100.0,1,9.0,2.0,2.0,1.0,1.0,1.0
18,1,1.0,2.0,2.0,1.0,2.0,1,2.0,2.0,7.0,4.0,1.0,88.0,1.0,168.0,1.0,2.0,1,1.0,2.0,100.0,178.0,90.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,6.0,2.0,1.0,2.0,2.0,85.0,1.0,1,2.0,1,78000,2.0,2.0,5.0,1.0,2.0,1,10164.0,995,2.0,4,547032.0,1,1.0,2.0,12.0,2.0,2.0,1,2.0,1.0,2.0,0.0,1.0,2.0,2686105.0,2.0,1.0,2.0,1,9.0,611,5752,1.0,2.0,2.0,19,7.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1,1.0,255551.0,3.0,2.0,1.0,2.0,35.0,4.0,2,2.0,1.0,284938.0,2.0,1.0,3.0,1.0,1.0,1.0,100.0,1,6.0,2.0,1.0,1.0,1.0,1.0
30,1,1.0,1.0,2.0,1.0,1.0,1,1.0,2.0,10.0,4.0,4.0,80.0,1.0,168.0,1.0,1.0,1,1.0,2.0,100.0,1000.0,75.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,7.0,2.0,1.0,2.0,2.0,90.0,2.0,1,2.0,1,1400000,2.0,2.0,2.0,1.0,1.0,1,100832.0,1950,1.0,16,2674455.0,1,1.0,2.0,12.0,2.0,1.0,1,1.0,1.0,2.0,1.0,2.0,2.0,21632527.0,2.0,1.0,1.0,1,13.0,1339,5090,2.0,2.0,2.0,31,7.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1,1.0,1367031.0,1.0,2.0,1.0,2.0,300.0,4.0,2,1.0,1.0,1033835.0,1.0,1.0,4.0,2.0,1.0,1.0,100.0,1,9.0,1.0,2.0,1.0,1.0,1.0
46,1,1.0,1.0,2.0,1.0,1.0,1,2.0,2.0,8.0,4.0,2.0,100.0,1.0,168.0,1.0,1.0,2,1.0,2.0,100.0,300.0,95.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,5.0,2.0,1.0,2.0,2.0,100.0,2.0,2,2.0,1,142000,2.0,2.0,15.0,1.0,1.0,1,13035.0,2007,2.0,16,264318.0,1,1.0,2.0,12.0,2.0,2.0,2,1.0,2.0,2.0,1.0,2.0,2.0,4663922.0,2.0,1.0,1.0,1,1.0,2550,2417,2.0,2.0,2.0,47,7.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1,2.0,44308.0,1.0,1.0,1.0,2.0,87.0,4.0,1,2.0,1.0,198994.0,2.0,2.0,4.0,2.0,1.0,1.0,100.0,1,7.0,2.0,2.0,1.0,1.0,1.0
75,1,1.0,2.0,1.0,2.0,1.0,1,1.0,2.0,11.0,4.0,4.0,100.0,1.0,168.0,1.0,2.0,2,1.0,2.0,100.0,3500.0,80.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,2.0,1,1.0,1,1000000,2.0,2.0,10.0,1.0,1.0,24,44943.0,1962,1.0,2,4212708.0,1,1.0,2.0,12.0,2.0,2.0,2,2.0,2.0,2.0,1.0,1.0,2.0,22298032.0,2.0,1.0,2.0,1,995.0,1238,4141,2.0,2.0,2.0,76,7.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1,2.0,1173489.0,1.0,2.0,1.0,2.0,150.0,4.0,2,1.0,2.0,3012668.0,2.0,1.0,3.0,2.0,1.0,1.0,100.0,1,10.0,2.0,2.0,1.0,1.0,3.0
109,1,1.0,2.0,1.0,1.0,1.0,1,1.0,2.0,10.0,4.0,1.0,75.0,1.0,168.0,1.0,1.0,1,1.0,1.0,75.0,2000.0,95.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,1,2.0,1,900000,2.0,2.0,10.0,2.0,1.0,2,21801.0,1975,1.0,2,2478950.0,1,1.0,2.0,12.0,1.0,1.0,1,2.0,1.0,1.0,1.0,1.0,2.0,13582776.0,2.0,1.0,2.0,2,12.0,2011,3068,1.0,2.0,2.0,110,7.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1,1.0,1079818.0,1.0,2.0,1.0,2.0,200.0,4.0,2,1.0,2.0,1344203.0,2.0,1.0,3.0,2.0,1.0,1.0,90.0,1,10.0,1.0,2.0,1.0,1.0,3.0
120,1,1.0,2.0,2.0,1.0,2.0,1,2.0,2.0,7.0,4.0,4.0,97.0,2.0,45.0,1.0,2.0,2,1.0,2.0,97.0,150.0,99.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,6.0,2.0,1.0,2.0,2.0,95.0,2.0,1,2.0,1,186000,2.0,2.0,3.0,7.0,1.0,6,4487.0,1992,1.0,8,221482.0,1,1.0,2.0,12.0,2.0,2.0,2,2.0,2.0,2.0,0.0,1.0,2.0,2715580.0,2.0,1.0,1.0,2,5.0,2242,2828,2.0,2.0,2.0,121,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1,2.0,83681.0,1.0,2.0,1.0,2.0,30.0,4.0,2,2.0,1.0,137801.0,2.0,2.0,4.0,2.0,1.0,2.0,100.0,1,6.0,2.0,2.0,1.0,2.0,3.0
131,1,1.0,2.0,1.0,2.0,1.0,1,2.0,2.0,9.0,4.0,2.0,90.0,1.0,168.0,1.0,1.0,1,1.0,2.0,100.0,500.0,90.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,6.0,2.0,1.0,3.0,2.0,100.0,2.0,1,2.0,1,245000,2.0,2.0,0.0,2.0,1.0,3,13705.0,1987,1.0,2,1118256.0,1,1.0,1.0,12.0,2.0,1.0,1,1.0,1.0,1.0,1.0,2.0,2.0,8695323.0,2.0,1.0,1.0,2,3.0,1714,3408,2.0,2.0,2.0,132,7.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1,1.0,368994.0,1.0,1.0,1.0,2.0,100.0,4.0,2,1.0,2.0,743785.0,2.0,1.0,2.0,2.0,1.0,2.0,100.0,1,7.0,2.0,2.0,1.0,2.0,3.0
