,SQFT,PBA,HDD65,CDD65
0,500000,18,2399,2290
1,30000,2,813,4144
2,800000,16,1318,3503
3,78000,4,5752,611
4,1400000,16,5090,1339
5,142000,16,2417,2550
6,1000000,2,4141,1238
7,900000,2,3068,2011
8,186000,8,2828,2242
9,245000,2,3408,1714
10,74000,18,4348,1605
11,900000,16,1918,2344
12,1400000,2,4076,1675
13,220000,4,4682,1082
14,230000,13,4082,1479
15,480000,2,5120,1078
16,3450,25,6394,512
17,1500000,13,1337,667
18,365000,13,2510,2470
19,600000,16,6322,832
20,600000,16,5698,1024
21,280000,2,3993,1381
22,210000,16,6111,696
23,39500,8,4959,1379
24,205000,13,7054,280
25,240000,16,992,2690
26,17250,14,2285,2161
27,1000000,16,2848,2108
28,315000,2,4918,917
29,475000,24,4970,1062
30,800000,16,778,2369
31,425000,8,6710,446
32,280000,18,4033,1527
33,250000,14,5176,1589
34,285000,13,4586,1243
35,700000,2,3310,1924
36,210000,2,6580,1004
37,124000,1,6426,974
38,160000,16,3794,1327
39,215000,2,2794,60
40,58000,2,3937,1403
41,600000,16,6334,1049
42,80000,15,5550,723
43,430000,18,4647,1131
44,1400000,16,1356,3875
45,405000,16,1912,2365
46,285000,13,4349,1160
47,148000,14,6174,550
48,154000,8,3235,2055
49,900000,17,4186,1133
50,20250,18,3654,1637
51,57000,2,2196,2116
52,320000,2,938,1283
53,104000,13,5625,711
54,225000,2,3214,1637
55,600000,16,4652,1587
56,178000,14,7041,867
57,1500000,2,3881,1260
58,44500,2,5604,506
59,24000,13,788,4231
60,6000,15,4248,1099
61,65000,14,3356,2084
62,265000,7,2840,1938
63,1500000,2,4868,1100
64,166000,13,6311,777
65,118000,1,4364,1188
66,188000,2,3844,1271
67,380000,16,3964,1776
68,5200,14,3705,741
69,1400000,16,1763,3228
70,1500000,13,5114,1236
71,410000,16,6261,970
72,92000,14,5478,634
73,325000,8,2754,1796
74,100000,13,4066,1257
75,400000,8,3731,1907
76,900000,16,3927,1356
77,285000,2,2463,2515
78,200000,14,1075,3736
79,126000,8,3923,1022
80,460000,16,5610,633
81,290000,18,2139,2272
82,44000,18,5922,1228
83,305000,14,4456,1099
84,1400000,16,3196,2206
85,83000,17,5867,714
86,118000,14,3043,2044
87,30500,7,4792,860
88,215000,16,5524,1117
89,40500,18,4158,1224
90,235000,16,4287,895
91,700000,16,1369,879
92,900000,8,2638,2360
93,77000,8,4216,1581
94,62000,2,2799,1798
95,700000,16,5436,1119
