,SQFT,PBA,HDD65,CDD65
0,2400,26,6647,1100
1,114000,23,3659,1634
2,500000,18,2399,2290
3,30000,2,813,4144
4,1800,6,2728,2515
5,37500,2,1341,2878
6,600000,2,3471,1723
7,10250,2,4023,1435
8,6200,15,2027,2216
9,7000,26,2674,1863
10,370000,14,1316,3548
11,104000,14,3674,1894
12,6000,2,2617,2191
13,78000,4,5752,611
14,71000,2,5563,1131
15,67000,13,1145,4059
16,2350,2,1332,2680
17,30000,13,4104,1344
18,158000,16,2881,1919
19,12500,5,768,1748
20,5600,8,6296,944
21,4800,25,5731,543
22,395000,2,2799,1974
23,250000,16,6965,468
24,41500,14,5569,178
25,1400000,16,5090,1339
26,3000,25,3173,1473
27,8300,23,842,3896
28,19000,12,6838,631
29,81000,14,2867,1811
30,90000,2,6087,829
31,5000,13,6015,861
32,130000,18,5535,1063
33,5000,7,1643,2563
34,11250,25,4984,1066
35,92000,6,5193,1118
36,150000,2,2270,1882
37,20000,5,2603,1256
38,5000,12,392,3432
39,16250,25,4841,976
40,8500,15,3863,1372
41,3800,2,1366,3563
42,166000,2,5334,851
43,190000,5,6107,1011
44,2850,15,2509,1575
45,300000,16,99,4310
46,49500,14,6297,308
47,64000,13,6800,591
48,4000,25,4824,775
49,10750,25,5085,1038
50,1550,14,448,5123
51,53000,5,2863,165
52,15250,13,4769,1007
53,2950,6,6269,183
54,7200,26,2656,1602
55,21000,14,2211,2834
56,29500,12,4929,1304
57,16500,2,3204,1569
58,5200,13,912,1246
59,1450,14,1481,1832
60,54000,16,6636,224
61,600000,5,97,4874
62,350000,16,2066,2216
63,2100,1,4442,1333
64,2400,5,6128,908
65,900000,5,1257,3504
66,800000,2,3880,1839
67,48000,14,4504,1036
68,295000,2,6150,993
69,84000,2,1123,1238
70,1600,15,1618,342
71,7700,26,3343,2082
72,28000,25,4676,1048
73,6300,2,1456,1331
74,3850,15,2406,1543
75,3200,2,942,2744
76,104000,14,4660,887
77,2100,5,2359,3047
78,285000,13,972,4720
79,55000,23,5404,724
80,84000,6,1518,1636
81,1700,26,833,3401
82,3500,25,3625,2095
83,4500,2,4899,841
84,128000,5,2533,1863
85,1250,5,1839,2308
86,128000,4,1414,482
87,1500,13,2201,1106
88,42500,1,5897,1202
89,68000,5,2292,2696
90,500001,2,4085,1005
91,150000,16,6692,412
92,900000,2,3068,2011
93,20000,5,871,2200
94,15750,5,5830,933
95,10250,2,5679,909
96,25000,18,4873,629
97,53000,2,3757,168
98,40000,18,2575,2313
99,1200,26,1558,3516
100,5000,14,747,1914
101,3000,15,2602,2346
102,126000,14,3069,1970
103,19250,5,983,2616
104,13000,12,1405,2811
105,16000,12,4931,1131
106,5000,14,3253,2200
