,ELUSED,DHUSED,HT2,STUSED,WATR,SQFT,NOCC,YRCON,PBA,MFEXP,COOL,FKUSED,ELHT2,FREESTN,ELWATR,ELCNS,NGUSED,CDD65,HDD65,PUBID,ELHT1,HT1,ELCOOL,HWUSED,ELEXP,MFUSED
9,1,2,2,2,1,600000,2,1989,2,1127929.0,1,1,2.0,1.0,1.0,16141457.0,1,1723,3471,10,1.0,1,1.0,2,1122110.0,1
13,1,2,2,2,1,7000,1,1969,26,5984.0,2,2,2.0,1.0,1.0,53716.0,2,1757,2896,14,1.0,1,2.0,2,5984.0,1
16,1,2,2,2,1,1200,1,1976,13,1165.0,2,2,2.0,1.0,1.0,13576.0,2,493,7010,17,1.0,1,2.0,2,1165.0,1
20,1,2,2,2,1,67000,4,2008,13,38194.0,1,2,2.0,1.0,1.0,524094.0,2,4059,1145,21,1.0,1,1.0,2,38194.0,1
21,1,2,2,2,1,2350,1,1955,2,1545.0,1,2,2.0,1.0,1.0,24366.0,2,2680,1332,22,1.0,1,1.0,2,1545.0,1
27,1,2,2,2,1,395000,11,1994,2,1335727.0,1,1,2.0,1.0,1.0,9489502.0,2,1974,2799,28,1.0,1,1.0,2,1334542.0,1
32,1,2,2,2,1,8300,3,2006,23,3963.0,1,2,2.0,1.0,1.0,81335.0,2,3896,842,33,1.0,1,1.0,2,3963.0,1
40,1,2,2,2,1,5000,1,2010,7,6215.0,1,1,2.0,1.0,1.0,90239.0,2,2563,1643,41,1.0,1,1.0,2,5910.0,1
43,1,2,2,2,1,150000,1,1998,2,304894.0,1,1,2.0,1.0,1.0,3694850.0,2,1882,2270,44,1.0,1,1.0,2,295701.0,1
45,1,2,2,2,1,5000,1,2004,12,1257.0,1,2,2.0,1.0,1.0,14179.0,2,3432,392,46,1.0,1,1.0,2,1257.0,1
49,1,2,2,2,1,3800,2,2004,2,11137.0,1,2,2.0,1.0,1.0,95451.0,2,3563,1366,50,1.0,1,1.0,2,11137.0,1
54,1,2,2,2,2,10500,1,995,12,7597.0,2,2,2.0,1.0,2.0,54008.0,2,931,1122,55,1.0,1,2.0,2,7597.0,1
55,1,2,1,2,1,49500,1,1953,14,53084.0,1,2,2.0,1.0,1.0,336954.0,1,308,6297,56,1.0,1,1.0,2,34821.0,1
59,1,2,2,2,1,4000,1,1998,25,6950.0,1,2,2.0,1.0,1.0,39989.0,1,775,4824,60,1.0,1,1.0,2,3767.0,1
61,1,2,2,2,2,1550,1,1990,14,687.0,1,2,2.0,1.0,2.0,10588.0,2,5123,448,62,1.0,1,1.0,2,687.0,1
62,1,2,2,2,1,53000,3,1993,5,150635.0,1,2,2.0,1.0,1.0,1206594.0,2,165,2863,63,1.0,1,1.0,2,150635.0,1
65,1,2,2,2,1,7200,1,2001,26,2557.0,1,2,2.0,1.0,1.0,17567.0,2,1602,2656,66,1.0,1,1.0,2,2557.0,1
68,1,2,1,2,1,16500,1,1990,2,59101.0,1,2,2.0,0.0,2.0,538329.0,1,1569,3204,69,1.0,1,1.0,2,58579.0,1
69,1,2,1,2,1,5200,2,1988,13,10430.0,1,2,2.0,1.0,2.0,69025.0,1,1246,912,70,1.0,1,1.0,2,10159.0,1
70,1,2,2,2,1,1450,1,2000,14,2402.0,1,2,2.0,1.0,1.0,13250.0,2,1832,1481,71,1.0,1,1.0,2,2402.0,1
72,1,2,2,2,1,600000,3,2001,5,345791.0,1,1,2.0,1.0,1.0,3410418.0,2,4874,97,73,1.0,1,1.0,2,333552.0,1
78,1,2,2,2,1,900000,1,1982,5,1122033.0,1,2,2.0,1.0,1.0,14949422.0,1,3504,1257,79,1.0,1,1.0,2,1121745.0,1
79,1,2,2,2,1,800000,1,1983,2,832325.0,1,1,2.0,1.0,1.0,13591670.0,2,1839,3880,80,1.0,1,1.0,2,832325.0,1
81,1,2,2,2,1,295000,4,2001,2,305793.0,1,1,2.0,1.0,1.0,3990800.0,2,993,6150,82,1.0,1,1.0,2,305396.0,1
82,1,2,2,2,1,84000,200,995,2,136702.0,1,2,2.0,1.0,1.0,877540.0,2,1238,1123,83,1.0,1,1.0,2,136702.0,1
85,1,2,2,2,1,28000,1,1998,25,51952.0,1,2,2.0,1.0,1.0,330586.0,2,1048,4676,86,1.0,1,1.0,2,51952.0,1
86,1,2,2,2,2,6300,3,2005,2,6862.0,1,2,2.0,1.0,2.0,34410.0,2,1331,1456,87,1.0,1,1.0,2,6862.0,1
87,1,2,1,2,2,7400,0,1965,1,107.0,2,2,2.0,1.0,2.0,1245.0,2,2207,2031,88,1.0,1,2.0,2,107.0,1
88,1,2,2,2,1,3850,1,2006,15,30811.0,1,2,2.0,1.0,1.0,263054.0,1,1543,2406,89,1.0,1,1.0,2,20891.0,1
90,1,2,2,2,1,3200,4,1988,2,1402.0,1,2,2.0,1.0,1.0,9309.0,2,2744,942,91,1.0,1,1.0,2,1402.0,1
92,1,2,2,2,1,2100,1,2004,5,2822.0,1,1,2.0,1.0,1.0,48707.0,2,3047,2359,93,1.0,1,1.0,2,2812.0,1
98,1,2,2,2,1,3500,1,995,25,2821.0,1,2,2.0,0.0,1.0,29841.0,2,2095,3625,99,1.0,1,1.0,2,2821.0,1
100,1,2,2,2,1,128000,1,1999,5,109935.0,1,2,2.0,1.0,1.0,1300482.0,2,1863,2533,101,1.0,1,1.0,2,109935.0,1
101,1,2,2,2,2,1250,1,2005,5,8191.0,1,2,2.0,1.0,2.0,86822.0,2,2308,1839,102,1.0,1,1.0,2,8191.0,1
105,1,2,1,2,1,42500,2,1989,1,9573.0,1,2,2.0,1.0,1.0,75103.0,1,1202,5897,106,1.0,1,1.0,2,5535.0,1
110,1,2,2,2,1,20000,1,1952,5,19724.0,1,2,2.0,1.0,1.0,124468.0,2,2200,871,111,1.0,1,1.0,2,19724.0,1
113,1,2,2,2,1,25000,1,2009,18,59653.0,1,2,2.0,1.0,2.0,497379.0,1,629,4873,114,1.0,1,1.0,2,52520.0,1
115,1,2,1,2,1,40000,1,1975,18,50633.0,1,2,2.0,0.0,2.0,657506.0,1,2313,2575,116,1.0,1,1.0,2,41361.0,1
117,1,2,2,2,1,5000,1,2000,14,1941.0,1,2,2.0,1.0,1.0,17860.0,2,1914,747,118,1.0,1,1.0,2,1941.0,1
118,1,2,2,2,1,3000,1,1959,15,5353.0,1,2,2.0,1.0,1.0,60568.0,2,2346,2602,119,1.0,1,1.0,2,5353.0,1
119,1,2,1,2,1,126000,1,995,14,65227.0,1,2,2.0,1.0,1.0,644926.0,1,1970,3069,120,1.0,1,1.0,2,61473.0,1
121,1,2,2,2,1,19250,7,1981,5,9275.0,1,2,2.0,0.0,1.0,55267.0,2,2616,983,122,1.0,1,1.0,2,9275.0,1
122,1,2,2,2,1,13000,1,1999,12,1996.0,1,2,2.0,1.0,1.0,30038.0,2,2811,1405,123,1.0,1,1.0,2,1996.0,1
127,1,2,1,2,1,150000,1,1983,18,168534.0,1,1,2.0,1.0,2.0,2085859.0,1,1788,3757,128,1.0,1,1.0,2,161988.0,1
128,1,2,2,2,2,6500,1,2006,25,28731.0,1,2,2.0,1.0,2.0,317140.0,2,2683,1284,129,1.0,1,1.0,2,28731.0,1
129,1,2,2,2,1,3500,1,2007,2,4044.0,1,2,2.0,1.0,1.0,28361.0,2,1619,2299,130,1.0,1,1.0,2,4044.0,1
140,1,2,2,2,1,5300,4,1967,2,4427.0,1,2,2.0,1.0,1.0,37755.0,2,1532,4397,141,1.0,1,1.0,2,4427.0,1
145,1,2,2,2,1,36000,1,1969,14,72685.0,2,2,2.0,1.0,1.0,377004.0,2,1114,4460,146,1.0,1,2.0,2,72685.0,1
147,1,2,2,2,1,21750,1,995,17,30821.0,1,2,2.0,1.0,1.0,197783.0,2,900,2572,148,1.0,1,1.0,2,30821.0,1
148,1,2,2,2,1,48000,1,1989,14,51313.0,1,2,2.0,1.0,2.0,474411.0,1,2730,2433,149,1.0,1,1.0,2,44481.0,1
150,1,2,2,2,2,3850,1,2002,14,3140.0,1,2,2.0,1.0,2.0,23619.0,2,1577,1318,151,1.0,1,1.0,2,3140.0,1
159,1,2,2,2,1,116000,30,1982,23,273593.0,1,2,2.0,1.0,1.0,2001936.0,1,3506,207,160,1.0,1,1.0,2,175628.0,1
160,1,2,2,2,1,22000,1,2012,2,27694.0,1,2,2.0,1.0,1.0,168797.0,2,1406,2282,161,1.0,1,1.0,2,27694.0,1
161,1,2,2,2,1,2500,1,1960,15,14768.0,1,2,2.0,1.0,1.0,107525.0,1,3377,119,162,1.0,1,1.0,2,11208.0,1
166,1,2,2,2,1,5000,2,1980,2,2929.0,1,2,2.0,1.0,2.0,26244.0,1,2578,2447,167,1.0,1,1.0,2,2470.0,1
171,1,2,2,2,2,13000,0,1965,1,2098.0,1,2,2.0,1.0,2.0,4632.0,2,3136,1708,172,1.0,1,1.0,2,2098.0,1
177,1,2,2,2,1,2300,1,1975,2,4634.0,1,2,2.0,1.0,1.0,55567.0,2,820,4952,178,1.0,1,1.0,2,4634.0,1
187,1,2,1,2,1,12000,1,1976,26,4159.0,1,2,2.0,1.0,1.0,19143.0,1,953,2941,188,1.0,1,1.0,2,3875.0,1
189,1,2,2,2,1,9600,1,995,15,14128.0,1,2,2.0,0.0,1.0,80560.0,1,1782,3605,190,1.0,1,1.0,2,8051.0,1
194,1,2,2,2,2,3600,1,1970,26,3088.0,2,2,2.0,1.0,2.0,26180.0,2,1821,2845,195,1.0,1,2.0,2,3088.0,1
197,1,2,2,2,1,28000,2,1962,25,15913.0,1,2,2.0,1.0,1.0,121121.0,2,1471,2831,198,1.0,1,1.0,2,15913.0,1
198,1,2,2,2,1,142000,17,1989,2,187326.0,1,1,2.0,1.0,1.0,2238862.0,2,1121,4784,199,1.0,1,1.0,2,186784.0,1
201,1,2,1,2,1,188000,1,1961,16,512281.0,1,1,2.0,1.0,2.0,4444675.0,1,161,2650,202,1.0,1,1.0,2,494580.0,1
202,1,2,2,2,1,9100,1,2012,25,2315.0,2,2,2.0,1.0,1.0,25039.0,2,2012,2021,203,1.0,1,2.0,2,2315.0,1
204,1,2,2,2,1,6000,1,2007,2,12041.0,1,2,2.0,1.0,1.0,91639.0,2,1450,3989,205,1.0,1,1.0,2,12041.0,1
205,1,2,2,2,1,73000,1,2004,14,99713.0,1,2,2.0,1.0,2.0,738246.0,1,3043,1644,206,1.0,1,1.0,2,98521.0,1
211,1,2,2,2,1,28000,3,2000,14,36160.0,1,2,2.0,1.0,2.0,447626.0,1,4550,795,212,1.0,1,1.0,2,35746.0,1
215,1,2,2,2,1,15000,1,1968,2,60743.0,1,2,2.0,1.0,1.0,634365.0,2,1778,2518,216,1.0,1,1.0,2,60743.0,1
217,1,2,2,2,1,27000,1,2001,18,52927.0,1,2,2.0,1.0,1.0,639042.0,1,2132,2451,218,1.0,1,1.0,2,43762.0,1
222,1,2,2,2,2,1200,1,1980,2,181.0,1,2,2.0,1.0,2.0,2552.0,2,2143,2782,223,1.0,1,1.0,2,181.0,1
223,1,2,2,2,1,5400,1,1984,12,2472.0,1,2,2.0,1.0,1.0,21826.0,2,1981,2188,224,1.0,1,1.0,2,2472.0,1
225,1,2,2,2,1,25000,1,1989,18,43660.0,1,2,2.0,1.0,2.0,623694.0,1,2447,2550,226,1.0,1,1.0,2,36685.0,1
227,1,2,2,2,1,600000,15,2001,2,650399.0,1,1,2.0,1.0,1.0,8638378.0,1,169,4388,228,1.0,1,1.0,2,628484.0,1
231,1,2,2,2,1,14000,1,2000,12,19170.0,1,2,2.0,1.0,1.0,200777.0,2,4526,851,232,1.0,1,1.0,2,19170.0,1
237,1,2,2,2,1,35000,4,1988,23,90626.0,1,2,2.0,1.0,1.0,618879.0,1,1422,2295,238,1.0,1,1.0,2,81206.0,1
240,1,2,2,2,1,88000,1,2011,14,72861.0,1,2,2.0,1.0,2.0,769193.0,1,1692,3634,241,1.0,1,1.0,2,70096.0,1
241,1,2,2,2,1,122000,8,1984,2,559819.0,1,1,2.0,1.0,1.0,7033937.0,2,3048,1216,242,1.0,1,1.0,2,552294.0,1
243,1,2,2,2,1,54000,1,1950,14,63984.0,1,2,2.0,1.0,1.0,595191.0,1,3954,1454,244,1.0,1,1.0,2,58833.0,1
245,1,2,2,2,2,2400,1,2000,5,2969.0,1,2,2.0,1.0,2.0,28217.0,2,3818,1118,246,1.0,1,1.0,2,2969.0,1
249,1,2,2,2,1,5200,1,1980,5,19087.0,1,2,2.0,1.0,1.0,147519.0,1,1562,666,250,1.0,1,1.0,2,18602.0,1
250,1,2,2,2,1,8200,1,1997,18,15266.0,1,2,2.0,1.0,1.0,121725.0,2,4460,786,251,1.0,1,1.0,2,15266.0,1
255,1,2,2,2,1,1500,1,1981,15,11582.0,1,2,2.0,1.0,1.0,60159.0,2,1442,2168,256,1.0,1,1.0,2,11582.0,1
256,1,2,2,2,1,14000,1,1988,2,64610.0,1,2,2.0,1.0,1.0,751707.0,2,1316,3944,257,1.0,1,1.0,2,64610.0,1
257,1,2,2,2,1,158000,4,1999,2,215107.0,1,1,2.0,0.0,1.0,2234766.0,2,1950,3089,258,1.0,1,1.0,2,214478.0,1
263,1,2,1,2,1,80000,1,1964,2,35058.0,1,2,2.0,1.0,1.0,215819.0,1,931,4635,264,1.0,1,1.0,2,30182.0,1
269,1,2,2,2,1,90000,1,1998,14,55985.0,1,2,2.0,1.0,1.0,524572.0,2,5157,433,270,1.0,1,1.0,2,55985.0,1
270,1,2,1,2,1,220000,1,2000,25,574583.0,1,1,2.0,1.0,1.0,5888343.0,1,1429,4046,271,1.0,1,1.0,2,541684.0,1
271,1,2,2,2,1,90000,1,1989,2,315245.0,1,1,2.0,1.0,1.0,2400157.0,2,1435,2507,272,1.0,1,1.0,2,309588.0,1
276,1,2,2,2,2,18000,0,1951,1,447.0,2,2,2.0,1.0,2.0,3813.0,2,1044,4372,277,1.0,1,2.0,2,447.0,1
277,1,2,2,2,1,9700,1,1998,15,57272.0,1,2,2.0,1.0,1.0,464452.0,1,1680,2710,278,1.0,1,1.0,2,38680.0,1
289,1,2,1,2,1,8800,1,1996,17,9611.0,1,2,2.0,1.0,2.0,44808.0,1,1208,4668,290,1.0,1,1.0,2,6279.0,1
290,1,2,2,2,1,12000,1,1972,25,12647.0,1,2,2.0,1.0,1.0,141805.0,2,1545,2861,291,1.0,1,1.0,2,12647.0,1
292,1,2,1,2,1,3650,1,995,2,5754.0,1,2,2.0,1.0,2.0,46000.0,1,1758,836,293,1.0,1,1.0,2,5670.0,1
303,1,2,1,2,1,6300,1,1997,5,4024.0,1,2,2.0,1.0,1.0,24381.0,1,1433,3025,304,1.0,1,1.0,2,3180.0,1
304,1,2,1,2,1,3000,1,2001,25,4139.0,1,1,2.0,1.0,1.0,50650.0,2,3120,1355,305,1.0,1,1.0,2,3891.0,1
307,1,2,2,2,1,130000,28,1995,23,146225.0,1,2,2.0,1.0,1.0,2253701.0,2,2401,1876,308,1.0,1,1.0,2,146225.0,1
308,1,2,2,2,1,11500,1,1964,13,10159.0,1,2,2.0,1.0,2.0,77383.0,2,777,4607,309,1.0,1,1.0,2,10159.0,1
309,1,2,2,2,1,26500,1,1984,14,47488.0,1,2,2.0,1.0,1.0,319201.0,2,451,6091,310,1.0,1,1.0,2,47488.0,1
317,1,2,2,2,1,146000,1,2004,6,486831.0,1,2,2.0,1.0,1.0,3652870.0,1,1566,927,318,1.0,1,1.0,2,472614.0,1
