,SQFT,PBA,HDD65,CDD65
0,600000,2,3471,1723
1,7000,26,2896,1757
2,1200,13,7010,493
3,67000,13,1145,4059
4,2350,2,1332,2680
5,395000,2,2799,1974
6,8300,23,842,3896
7,5000,7,1643,2563
8,150000,2,2270,1882
9,5000,12,392,3432
10,3800,2,1366,3563
11,10500,12,1122,931
12,49500,14,6297,308
13,4000,25,4824,775
14,1550,14,448,5123
15,53000,5,2863,165
16,7200,26,2656,1602
17,16500,2,3204,1569
18,5200,13,912,1246
19,1450,14,1481,1832
20,600000,5,97,4874
21,900000,5,1257,3504
22,800000,2,3880,1839
23,295000,2,6150,993
24,84000,2,1123,1238
25,28000,25,4676,1048
26,6300,2,1456,1331
27,7400,1,2031,2207
28,3850,15,2406,1543
29,3200,2,942,2744
30,2100,5,2359,3047
31,3500,25,3625,2095
32,128000,5,2533,1863
33,1250,5,1839,2308
34,42500,1,5897,1202
35,20000,5,871,2200
36,25000,18,4873,629
37,40000,18,2575,2313
38,5000,14,747,1914
39,3000,15,2602,2346
40,126000,14,3069,1970
41,19250,5,983,2616
42,13000,12,1405,2811
43,150000,18,3757,1788
44,6500,25,1284,2683
45,3500,2,2299,1619
46,5300,2,4397,1532
47,36000,14,4460,1114
48,21750,17,2572,900
49,48000,14,2433,2730
50,3850,14,1318,1577
51,116000,23,207,3506
52,22000,2,2282,1406
53,2500,15,119,3377
54,5000,2,2447,2578
55,13000,1,1708,3136
56,2300,2,4952,820
57,12000,26,2941,953
58,9600,15,3605,1782
59,3600,26,2845,1821
60,28000,25,2831,1471
61,142000,2,4784,1121
62,188000,16,2650,161
63,9100,25,2021,2012
64,6000,2,3989,1450
65,73000,14,1644,3043
66,28000,14,795,4550
67,15000,2,2518,1778
68,27000,18,2451,2132
69,1200,2,2782,2143
70,5400,12,2188,1981
71,25000,18,2550,2447
72,600000,2,4388,169
73,14000,12,851,4526
74,35000,23,2295,1422
75,88000,14,3634,1692
76,122000,2,1216,3048
77,54000,14,1454,3954
78,2400,5,1118,3818
79,5200,5,666,1562
80,8200,18,786,4460
81,1500,15,2168,1442
82,14000,2,3944,1316
83,158000,2,3089,1950
84,80000,2,4635,931
85,90000,14,433,5157
86,220000,25,4046,1429
87,90000,2,2507,1435
88,18000,1,4372,1044
89,9700,15,2710,1680
90,8800,17,4668,1208
91,12000,25,2861,1545
92,3650,2,836,1758
93,6300,5,3025,1433
94,3000,25,1355,3120
95,130000,23,1876,2401
96,11500,13,4607,777
97,26500,14,6091,451
98,146000,6,927,1566
99,90000,14,2594,1535
100,700000,18,1098,4257
101,1800,25,1093,2438
102,11000,5,784,1831
103,205000,13,2637,1757
104,4000,8,3646,1636
105,9500,26,300,3838
106,5000,15,782,3602
107,15000,15,455,3579
108,122000,2,4551,1678
109,126000,2,4056,1770
110,20250,14,1204,2470
111,5000,8,2168,1042
112,56000,17,1099,2882
113,2300,26,2283,1814
114,9400,91,908,1423
115,29500,14,144,4326
116,40000,5,69,4598
117,110000,18,1802,3166
118,78000,23,2384,1718
119,12000,15,352,3520
120,68000,5,3599,1240
121,1800,25,2648,1668
122,3800,2,2226,2144
123,62000,18,2551,1692
124,490000,2,2498,2435
125,4200,26,3592,1178
126,106000,12,1186,2865
127,102000,2,579,3247
128,186000,2,2350,2114
129,3200,6,326,3682
130,350000,8,2450,1606
131,112000,5,713,4316
132,75000,16,2541,2761
133,4300,14,2645,1700
134,57000,18,5044,1301
135,132000,2,4659,1209
136,67000,14,3234,1425
137,2500,13,1011,1580
138,1100,2,2835,2513
139,34500,2,1591,814
140,186000,2,3619,1933
141,5000,5,1834,3047
142,4400,5,5737,1105
143,4800,6,3312,1429
144,1800,6,3187,1531
145,1200,26,1326,2693
146,2000,15,1577,3421
147,9200,12,3118,1394
148,6300,2,216,3574
149,6000,2,3318,1615
150,500000,14,4253,1110
151,4350,13,831,3327
152,78000,2,1641,3411
153,6000,6,4999,936
154,9000,91,3566,1627
155,16000,25,1346,1444
156,1500,15,3877,1308
157,700000,25,3915,164
158,4000,2,4109,1422
159,70000,17,4103,1706
160,116000,25,1870,3057
161,40000,17,3796,1990
162,40000,12,709,3466
163,405000,2,2972,2087
164,9800,15,2614,1502
165,10500,25,5887,1150
166,21000,14,1053,3601
167,2500,2,3095,1730
168,10750,23,1038,3853
169,100001,2,723,4129
170,405000,2,5500,1130
171,3000,2,391,3646
172,17250,2,3789,1856
173,1400,2,1338,2014
174,3300,2,806,3783
175,1000000,18,462,3438
176,225000,2,983,4672
177,42000,5,1118,925
178,290000,2,4087,1726
179,400000,18,3863,1489
180,7000,14,1076,4019
181,60000,8,921,3104
182,60000,2,2825,1468
183,178000,23,466,4938
184,460000,5,719,2197
185,9300,2,963,1900
186,20000,5,2951,1550
187,5000,26,1065,2997
188,66000,16,1037,3838
189,116000,5,606,5871
190,3000,15,3166,1666
191,10000,8,1483,2797
192,4500,26,2517,1669
193,1800,15,3065,1877
194,4900,2,3981,1096
195,79000,14,5152,865
196,5000,12,3031,1599
197,6300,14,3967,1566
198,34500,23,1242,817
199,1500000,24,1298,607
200,86000,5,528,5250
201,73000,5,879,3839
202,1500,2,2697,1600
203,47000,2,1753,801
204,1650,14,4212,1692
205,27500,2,1563,3075
206,4000,25,846,2886
207,102000,2,5190,935
208,4500,26,841,1318
209,4300,7,1143,3198
210,2500,5,1158,1223
211,305000,2,6459,1013
212,116000,14,365,3383
213,2000,2,1166,929
214,37500,14,1123,4892
215,600000,2,3575,1873
216,600000,2,3307,1796
217,6300,2,3655,1405
218,2000,5,5723,790
219,10250,18,3728,1673
220,6500,12,6564,1010
221,335000,14,296,3581
222,110000,18,3895,1525
223,66000,5,1143,925
224,500000,2,3912,1324
225,25500,17,2905,1656
226,136000,5,1498,651
227,3000,15,1454,3270
228,102000,2,4331,1285
229,4500,2,2141,2022
230,5600,2,5300,519
231,36000,2,4994,1263
232,1200,6,3500,1474
233,54000,23,1922,327
234,4500,15,451,3395
235,2600,5,3020,1412
236,6000,2,4361,1408
237,50000,25,1339,2569
238,29500,12,164,4373
239,78000,5,959,1294
240,3100,14,2367,1051
241,6900,2,140,4476
242,2000,15,3418,1659
243,3500,12,2980,1727
244,5000,2,3494,1633
245,3600,5,4039,1308
246,1400000,2,4959,1293
247,6300,2,4910,1047
248,5600,6,3575,1630
249,3500,8,860,3732
250,3950,18,3018,1665
251,2400,12,5006,1032
252,1800,2,5370,1152
253,9400,2,3983,1895
254,172000,14,2049,2409
255,1550,26,5362,1596
256,8000,26,1649,2029
257,45000,14,715,3076
258,2800,8,1042,3241
259,1400,6,879,3243
260,3000,12,1986,2113
261,1250,14,348,3751
262,2400,26,2337,2756
263,10250,2,1159,2823
264,6000,5,887,1695
265,5001,5,689,1921
266,14000,14,3099,1687
267,80000,12,1141,3108
268,14000,18,4084,948
269,4400,14,851,3395
270,365000,2,699,4225
271,10250,2,4054,1403
272,5000,1,1752,2321
273,67000,14,1999,2802
274,6400,25,5141,874
275,320000,2,3772,1337
276,4900,25,2018,241
277,18500,14,171,3871
278,148000,13,2721,2350
279,33500,14,2773,2016
280,52000,23,2651,2180
281,130000,18,1564,3298
282,1800,14,5626,569
283,6100,7,228,3497
284,2000,15,2434,2544
285,26000,26,6040,925
286,600000,2,983,2817
287,17000,5,780,1977
288,3400,12,3232,2112
289,7000,2,1002,3510
290,6600,25,936,4214
291,50001,23,384,3449
292,3000,15,2802,2153
293,1100,2,6876,165
294,20000,23,2280,1935
295,1200,26,332,4012
296,152000,2,1012,3183
297,5000,12,1114,772
298,14000,23,2093,2125
299,126000,11,7398,725
300,700000,5,5229,1390
301,192000,5,2325,1041
302,17000,2,2741,1362
303,6000,2,6923,665
304,600000,5,1808,2378
305,14000,18,2435,1620
306,1850,2,2375,1442
307,15000,25,2537,1725
308,1500,5,5814,456
309,21000,26,3110,1434
310,11250,13,2429,2297
311,95000,14,422,3739
312,7000,1,2715,2224
313,200001,8,4631,1119
314,13500,13,1115,3505
315,20000,17,5105,1015
316,1200,15,4404,661
317,4200,12,1592,2797
318,9100,8,108,4280
319,270000,18,76,4608
320,150000,25,4848,1244
321,76000,23,725,3026
322,2800,2,4358,807
323,365000,2,3036,2048
324,10000,23,2773,1902
325,1200,26,3951,1245
326,34500,25,5090,964
327,2500,13,1366,3111
328,90000,91,2861,1602
329,148000,5,1114,1247
330,38000,5,105,4001
331,7900,12,2530,2711
332,2400,13,6657,251
333,61000,2,689,3753
334,2200,15,549,3195
335,5500,5,3751,1713
336,156000,2,999,3478
337,15000,2,3781,1297
338,2900,14,2915,816
339,176000,5,1009,4445
340,10750,2,774,1945
341,9600,23,3448,1476
342,1600,2,3050,1956
343,36000,26,2064,2988
344,1000000,24,426,3666
345,1100,2,1692,2813
346,3400,5,7310,385
347,1200,2,1213,1422
348,73000,2,4104,1060
349,3400,15,3632,1715
350,7600,25,5298,720
351,7900,18,2447,1359
352,11250,2,986,2981
353,39500,18,116,4234
354,37500,14,2132,2146
355,2800,13,313,4061
356,73000,8,477,3430
357,40000,2,4236,1468
358,40000,25,2573,1595
359,1600,2,2070,2106
360,10000,2,338,4347
361,2500,13,713,1883
362,5000,12,5230,1055
363,9300,7,1235,2273
364,1500,12,1153,3943
365,116000,2,474,3384
366,295000,23,975,2959
367,5500,15,4339,1378
368,3000,25,3092,1569
369,1800,18,52,5165
370,23250,23,683,1744
371,3500,15,5255,1365
372,96000,2,4364,945
373,5000,25,3161,2118
374,73000,2,978,3331
375,5500,2,145,4680
376,14000,23,302,3835
377,31000,25,3833,1885
378,4250,2,3553,1865
379,50000,17,4258,1845
380,48500,23,1148,1256
381,10750,25,2315,2107
382,35000,14,180,4212
383,490000,16,3889,1330
384,18250,5,756,2057
385,90000,14,2835,1512
386,250000,13,601,2998
387,1700,26,4320,1305
388,4250,15,811,1971
389,65000,18,3302,1398
390,220000,18,101,4073
391,41000,91,1357,1372
392,3000,6,182,3964
393,5200,15,2741,2489
394,1400000,18,2437,1657
395,7400,25,6381,966
396,1650,6,2448,1331
397,150000,2,5460,656
398,800000,2,3678,1556
399,2400,2,4050,1705
400,5400,5,5656,963
401,38000,2,1120,4641
402,32000,13,4811,631
403,66000,16,292,3972
404,4400,13,1691,2366
405,4000,15,2313,1439
406,31500,25,421,3464
407,2500,13,3341,1396
408,70000,2,3920,1244
409,7800,14,1347,1334
410,2100,26,4154,1344
411,5800,14,2303,1269
412,13750,14,347,4776
413,220000,25,2270,2155
414,9400,7,2033,1855
415,18000,8,1422,2681
416,3250,26,389,3617
417,2000,2,4116,1323
418,50000,25,2955,2020
419,62000,5,667,4204
420,198000,2,4920,152
421,37000,25,3935,939
422,1250,2,1202,2600
423,60000,23,1999,1570
424,43500,14,2185,2965
425,3700,5,5473,1058
426,3000,25,2946,1808
427,55000,5,123,4138
428,1550,25,2143,1746
429,5200,2,3408,1623
430,53000,18,2041,2442
431,2600,2,137,4554
432,1500000,2,1367,901
433,1100,14,325,4274
434,1200,26,1776,2140
435,7000,12,2400,1915
436,36000,5,4370,1405
437,2400,6,6303,805
438,20000,13,946,3545
439,29000,18,2527,1763
440,2500,25,764,3912
441,50000,2,2903,1879
442,1800,15,2435,1366
443,18000,18,4748,1961
444,5000,6,1890,1992
445,290000,18,2052,1829
446,5000,2,2896,1813
447,62000,14,3949,1548
448,55000,18,82,4541
449,3950,2,3868,1755
450,3500,2,1444,2918
451,40000,14,6321,932
452,37500,23,3542,1870
453,4600,6,2554,2627
454,15250,91,2453,1956
455,6300,5,799,4058
456,170000,18,6323,950
457,250000,2,1550,3755
458,2950,14,1701,1237
459,1500,15,1693,2421
460,445000,7,88,4336
461,104000,18,4146,1251
462,24000,1,4206,1110
463,4800,14,1488,1466
464,63000,25,2778,2333
465,1600,8,1576,3294
466,97000,23,70,4856
467,41000,2,3094,1263
468,42000,18,2964,2147
469,3400,91,7008,513
470,21000,13,1188,1426
471,3500,23,5447,793
472,700000,24,3855,1030
473,2550,25,4814,611
474,25000,2,1409,563
475,172000,2,3384,1738
476,500001,2,1036,4623
477,215000,18,134,4871
478,18000,5,5799,654
479,600000,2,4574,1252
480,1550,25,1128,1157
481,35000,5,2385,1626
