,ELUSED,NGCNS,STHW,STDNRM,NGSRC,PKGCL,FACIL,FKHT2,COOK,DHUSED,ELNONLU,OTCLEQ,NWKERC,LOHRPC,PRNTYP,COOLP,OPNWE,WKHRS,FAX,ELCOOK,HT2,FKHT1,SOUSED,HEATP,NWKER,NGMANU,FLUORP,NGCOOL,FURNAC,RFGEQP,CAPGEN,RCAC,NGGENR,NGHT2,OPEN24,RDCLNF,FKEXP,GOVOWN,CWUSED,FKCOOL,FKCNS,ELMANU,NGWATR,MANU,RFCNS,COUSED,MAINT,WINTYP,EVAPCL,NGHT1,LTOHRP,HTPMPC,STUSED,WATR,SQFT,BOILER,DAYLTP,WLCNS,FKGENR,SERVER,NOCC,YRCON,BULB,PBA,MFEXP,COOL,PCTERM,ACWNWL,MONUSE,PKGHT,AWN,FKUSED,SKYLT,ELHT2,SLFCON,FREESTN,NGEXP,NGCOOK,ONEACT,ELWATR,ELCNS,OTLT,ELLOCUT,NGUSED,NFLOOR,CDD65,HDD65,HTPMPH,WOUSED,PUBID,FKMANU,WKHRSC,GENR,ELHT1,TRNGRM,TINT,RDHTNF,REFL,HT1,ELCOOL,WTHTEQ,OTUSED,COPIER,OTHTEQ,PRNTRN,MAINHT,HWUSED,HID,FKTYPE,CHWT,ELEXP,CHILLR,MAINCL,PRUSED,FLUOR,FKWATR,CFLR,FKCOOK,MFUSED,PCTRMC,HALO,ELOTSRC,OPNMF,HWTRM,OWNOCC
19,1,15806.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2,2.0,2.0,7.0,4.0,2.0,92.0,1.0,60.0,2.0,2.0,2,2.0,2.0,100.0,124.0,2.0,95.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,4393.0,1.0,2.0,2.0,1297.0,2.0,1.0,2.0,6.0,2.0,1.0,2.0,2.0,1.0,80.0,2.0,2,1,71000,1.0,10.0,1.0,1.0,1.0,1,1989,2.0,2,64982.0,1,1.0,2.0,12.0,1.0,2.0,1,1.0,2.0,2.0,1.0,9953.0,2.0,1.0,2.0,777843.0,2.0,1.0,1,2.0,1131,5563,2.0,2.0,20,2.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1,1.0,1.0,2.0,1.0,2.0,14.0,3.0,2,2.0,2.0,2.0,50636.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,1,6.0,2.0,2.0,1.0,2.0,1.0
23,1,221019.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2,2.0,2.0,8.0,3.0,2.0,100.0,1.0,168.0,1.0,1.0,1,2.0,2.0,100.0,250.0,2.0,80.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,3524.0,2.0,2.0,2.0,743.0,2.0,1.0,2.0,6.0,2.0,1.0,2.0,2.0,1.0,75.0,2.0,2,1,158000,1.0,0.0,1.0,1.0,2.0,1,1978,2.0,16,465400.0,1,1.0,2.0,12.0,1.0,2.0,1,2.0,1.0,1.0,1.0,119481.0,2.0,1.0,2.0,3920837.0,2.0,1.0,1,3.0,1919,2881,1.0,2.0,24,2.0,7.0,1.0,2.0,1.0,1.0,2.0,2.0,1,1.0,1.0,2.0,1.0,2.0,32.0,3.0,2,1.0,2.0,2.0,342395.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,1,7.0,1.0,2.0,1.0,1.0,1.0
53,1,378154.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2,2.0,2.0,8.0,4.0,2.0,90.0,1.0,168.0,1.0,1.0,1,2.0,2.0,90.0,360.0,2.0,95.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,9123.0,2.0,2.0,2.0,2513.0,2.0,1.0,2.0,6.0,2.0,1.0,2.0,2.0,1.0,100.0,2.0,2,1,300000,1.0,0.0,3.0,1.0,1.0,1,1972,1.0,16,1156266.0,1,1.0,2.0,12.0,2.0,1.0,1,2.0,1.0,1.0,1.0,252747.0,1.0,1.0,2.0,10239060.0,2.0,1.0,1,9.0,4310,99,2.0,2.0,54,2.0,7.0,1.0,2.0,1.0,1.0,1.0,2.0,1,1.0,1.0,2.0,1.0,2.0,60.0,3.0,2,2.0,2.0,2.0,894396.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1,6.0,1.0,2.0,1.0,1.0,1.0
73,1,333710.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2,2.0,2.0,9.0,4.0,1.0,100.0,1.0,168.0,1.0,1.0,2,2.0,2.0,100.0,600.0,2.0,75.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,21233.0,2.0,2.0,2.0,6334.0,2.0,1.0,2.0,6.0,2.0,1.0,2.0,2.0,1.0,100.0,2.0,2,1,350000,1.0,5.0,1.0,1.0,1.0,1,2002,1.0,16,1278292.0,1,1.0,2.0,12.0,2.0,2.0,1,2.0,2.0,2.0,1.0,410364.0,2.0,1.0,2.0,14196102.0,2.0,1.0,1,7.0,2216,2066,2.0,2.0,74,2.0,7.0,1.0,2.0,1.0,1.0,2.0,2.0,1,1.0,1.0,2.0,1.0,2.0,600.0,3.0,2,1.0,2.0,2.0,846695.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,1,8.0,2.0,2.0,1.0,1.0,1.0
94,1,3474.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2,2.0,2.0,6.0,4.0,1.0,100.0,1.0,90.0,2.0,1.0,2,2.0,2.0,100.0,75.0,2.0,100.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,645.0,1.0,1.0,2.0,198.0,2.0,1.0,2.0,6.0,2.0,1.0,2.0,2.0,1.0,100.0,2.0,2,1,285000,1.0,0.0,3.0,1.0,1.0,3,1986,1.0,13,357131.0,1,1.0,2.0,12.0,2.0,1.0,1,1.0,2.0,2.0,1.0,4309.0,1.0,1.0,2.0,3302999.0,1.0,1.0,1,2.0,4720,972,2.0,2.0,95,2.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,1,1.0,3.0,2.0,1.0,2.0,5.0,3.0,2,1.0,2.0,1.0,352177.0,2.0,4.0,1.0,1.0,2.0,1.0,2.0,1,4.0,1.0,2.0,1.0,1.0,3.0
102,1,220300.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2,2.0,2.0,8.0,4.0,2.0,100.0,1.0,168.0,1.0,2.0,2,2.0,2.0,100.0,450.0,2.0,80.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,742.0,2.0,2.0,2.0,118.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,100.0,2.0,2,1,128000,1.0,0.0,1.0,1.0,1.0,2,1998,2.0,4,1101460.0,1,1.0,2.0,12.0,2.0,2.0,1,1.0,2.0,2.0,1.0,125957.0,2.0,2.0,2.0,6984832.0,2.0,1.0,1,4.0,482,1414,2.0,2.0,103,2.0,7.0,1.0,2.0,2.0,1.0,2.0,2.0,1,1.0,1.0,2.0,1.0,2.0,40.0,3.0,2,2.0,2.0,2.0,974761.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,1,7.0,2.0,2.0,1.0,2.0,2.0
156,1,25161.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2,2.0,2.0,6.0,2.0,2.0,2.0,2.0,120.0,1.0,2.0,1,2.0,2.0,100.0,60.0,2.0,100.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,20017.0,2.0,2.0,2.0,5829.0,2.0,1.0,2.0,6.0,2.0,1.0,1.0,2.0,1.0,33.0,2.0,2,1,315000,2.0,20.0,2.0,1.0,1.0,3,2005,1.0,5,219544.0,1,1.0,2.0,12.0,1.0,1.0,1,1.0,1.0,1.0,1.0,22863.0,2.0,1.0,1.0,1745325.0,2.0,1.0,1,1.0,2063,2238,2.0,2.0,157,2.0,6.0,1.0,2.0,1.0,1.0,2.0,2.0,1,1.0,3.0,2.0,1.0,2.0,18.0,2.0,2,1.0,2.0,2.0,176664.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1,3.0,1.0,2.0,1.0,2.0,2.0
164,1,81857.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2,2.0,2.0,9.0,4.0,1.0,100.0,1.0,40.0,1.0,2.0,2,2.0,2.0,100.0,550.0,2.0,90.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,10076.0,2.0,2.0,2.0,2958.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,100.0,2.0,2,1,160000,1.0,30.0,1.0,1.0,1.0,1,1989,2.0,2,2046007.0,1,1.0,2.0,12.0,2.0,2.0,1,2.0,2.0,2.0,1.0,71443.0,2.0,1.0,2.0,16529268.0,2.0,1.0,1,4.0,258,2265,2.0,2.0,165,2.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1,1.0,3.0,2.0,1.0,2.0,25.0,3.0,2,2.0,2.0,2.0,1964488.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1,8.0,2.0,2.0,1.0,2.0,2.0
178,1,15157.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2,2.0,2.0,5.0,4.0,2.0,100.0,1.0,168.0,1.0,1.0,1,2.0,2.0,100.0,20.0,2.0,80.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,184.0,2.0,2.0,2.0,46.0,2.0,1.0,2.0,4.0,2.0,1.0,2.0,2.0,1.0,90.0,2.0,2,1,19500,2.0,0.0,4.0,1.0,1.0,1,2001,2.0,17,48402.0,1,1.0,2.0,12.0,1.0,2.0,1,2.0,1.0,2.0,0.0,11112.0,1.0,1.0,1.0,535737.0,2.0,1.0,1,1.0,1062,5553,2.0,2.0,179,2.0,7.0,1.0,2.0,2.0,2.0,2.0,1.0,1,1.0,1.0,2.0,1.0,2.0,6.0,2.0,2,2.0,9.0,2.0,37106.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1,2.0,2.0,2.0,1.0,1.0,1.0
180,1,10692.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2,2.0,2.0,6.0,4.0,2.0,24.0,2.0,40.0,1.0,2.0,2,2.0,2.0,100.0,60.0,2.0,100.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1853.0,2.0,2.0,2.0,554.0,2.0,1.0,2.0,5.0,2.0,1.0,2.0,2.0,1.0,100.0,2.0,2,1,30000,2.0,85.0,5.0,1.0,1.0,1,2005,2.0,5,78231.0,1,1.0,1.0,12.0,1.0,2.0,1,1.0,2.0,1.0,1.0,13318.0,2.0,1.0,2.0,428698.0,2.0,2.0,1,2.0,997,4665,2.0,2.0,181,2.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,1,1.0,1.0,2.0,1.0,2.0,10.0,1.0,2,2.0,2.0,2.0,63060.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1,4.0,2.0,1.0,1.0,2.0,1.0
