,SQFT,PBA,HDD65,CDD65
0,71000,2,5563,1131
1,158000,16,2881,1919
2,300000,16,99,4310
3,350000,16,2066,2216
4,285000,13,972,4720
5,128000,4,1414,482
6,315000,5,2238,2063
7,160000,2,2265,258
8,19500,17,5553,1062
9,30000,5,4665,997
10,255000,16,6260,1126
11,1500000,18,4227,1308
12,22750,26,7967,485
13,255000,2,1404,1824
14,230000,2,3382,1824
15,470000,13,4188,1210
16,1400000,16,5714,1086
17,190000,2,2126,312
18,700000,16,4049,1266
19,390000,2,858,3559
20,300000,16,1092,1355
21,1400000,16,4309,1020
22,210000,16,2835,1710
23,194000,18,4940,1023
24,1500000,16,3352,1516
25,480000,16,3388,1952
26,1500000,16,3979,1482
27,180000,16,6002,1133
28,120000,5,4098,1307
29,440000,14,6295,788
30,166000,2,8823,19
31,65000,2,4588,1215
32,390000,16,3082,2218
33,1000000,16,6398,357
34,600000,16,845,3077
35,198000,16,3799,1666
36,300000,5,932,1986
37,430000,16,2844,1799
38,142000,5,8491,770
39,172000,2,4084,1407
40,700000,16,2502,2905
41,1500000,16,3806,1249
42,150000,8,2216,3077
43,160000,14,5070,1330
44,160000,26,3073,2026
45,73000,14,3859,1509
46,160000,7,3663,1745
47,400000,18,3903,997
48,285000,5,5549,1187
49,245000,16,4559,1272
50,290000,18,3368,1834
51,500000,8,6441,440
52,64000,17,4105,1017
53,1400000,24,4133,1466
54,390000,16,2310,1557
55,1400000,16,560,4519
56,210000,5,2063,2797
57,10000,26,5069,1210
58,122000,16,3249,176
59,100000,2,4781,1231
60,230000,7,6793,815
61,900000,16,4059,1383
62,600000,16,2200,2931
63,40000,17,1576,1778
64,1500000,24,3412,1589
65,800000,2,4915,1113
66,245000,16,978,3089
67,65000,2,4783,818
68,14000,5,871,1398
69,370000,16,4878,1338
70,13500,7,2284,1896
71,68000,2,2964,2161
72,335000,5,4441,947
73,455000,16,2993,1507
74,8900,17,1266,2033
75,415000,16,2461,1799
76,55000,14,3046,891
77,55000,13,4307,1470
78,300000,4,2274,1642
79,700000,16,3744,1692
80,215000,16,5537,1272
81,900000,16,4909,135
82,700000,16,5192,1317
83,1400000,16,4998,938
84,108000,13,1578,889
85,205000,16,1949,2524
86,900000,16,6218,946
87,8400,7,4717,1058
88,80000,2,4868,1439
89,700000,16,5881,1194
