,STORIES,TYPEHUQ,TOTHSQFT,TOTCSQFT,HDD65,CDD65
0,20,2,1808,1808,2031,1768
1,10,2,759,759,1915,2795
2,10,2,1430,1716,2263,2235
3,10,2,2573,2573,3754,1374
4,20,2,933,933,5401,993
5,-2,5,623,623,7597,408
6,-2,4,832,832,1579,2582
7,10,2,894,358,6560,673
8,20,2,1900,1900,5301,1083
9,10,2,1230,1230,1400,3390
10,20,2,1426,285,6400,771
11,10,2,600,0,4007,1706
12,10,2,1884,1884,1327,2935
13,-2,5,782,196,6449,674
14,20,2,3380,3380,5274,1053
15,-2,5,1597,1597,1013,3705
16,-2,1,924,924,2446,2019
17,-2,4,1222,0,6647,609
18,10,2,1664,1664,3927,521
19,10,2,1750,560,4001,1742
20,10,2,1504,0,2034,420
21,20,3,1346,505,4089,1548
22,10,2,2979,1522,6014,781
23,-2,5,1688,1688,3981,1369
24,20,2,2597,2858,6461,597
25,20,3,1565,1565,4876,1205
26,20,2,2216,2216,4612,1382
27,10,2,1144,458,3585,1780
28,10,2,2188,2188,892,2936
29,20,2,2552,3059,7218,540
30,20,2,3104,3104,739,4833
31,10,2,1802,1802,1301,3616
32,-2,5,994,0,5401,774
33,-2,5,1123,1123,5411,959
34,20,3,1466,1466,2616,1959
35,20,3,1573,524,4588,1495
36,10,2,2746,0,1288,2921
37,10,2,1682,1682,2826,1871
38,10,2,2000,0,5400,682
39,10,2,1050,175,2511,1998
40,20,2,2518,2518,4262,1584
41,10,2,1116,1116,4115,1507
42,10,2,1533,1533,1956,1787
43,-2,5,811,811,6404,768
44,31,2,2357,0,1958,315
45,20,2,1955,652,6199,900
46,31,3,1492,0,4355,213
47,10,2,1570,1570,2464,2144
48,10,2,1632,1632,1141,3454
49,10,2,2462,2462,1338,3119
50,10,2,1470,320,6202,617
51,20,2,2216,2216,7088,406
52,10,2,1125,375,1431,3318
53,10,2,1008,1008,4904,1211
54,20,2,2009,0,7943,343
55,10,2,3060,2660,8124,400
56,20,3,1240,1240,689,1523
57,10,3,1600,1600,2132,2954
58,10,2,1272,1272,2696,2141
59,10,2,1692,1692,3514,1828
60,10,2,1961,1961,1026,2567
61,-2,5,822,822,93,5039
62,20,3,1428,238,7109,565
63,20,2,1806,602,4030,1376
64,-2,5,745,0,2019,1541
65,20,2,3888,2808,6055,769
66,10,2,2438,2438,6800,620
67,20,2,3750,3750,5250,903
68,10,2,1175,235,4870,1295
69,20,3,1382,1382,2069,2231
70,20,3,4876,4876,5569,1017
71,-2,4,830,830,2093,1522
72,20,2,3626,3626,5632,700
73,10,2,2804,2420,2340,2008
74,10,2,1250,417,7652,427
75,10,2,2214,2214,4285,1192
76,20,2,2044,2044,1941,2830
77,10,2,1862,0,4059,582
78,20,2,2656,2656,1203,3352
79,10,2,4310,4310,3190,2177
80,-2,5,676,338,6539,600
81,20,2,2986,2986,3144,1910
82,20,2,7878,7878,5444,1161
83,40,2,1841,0,4956,1159
84,-2,4,377,0,2294,1454
85,10,2,1332,0,1979,484
86,10,3,1241,1241,5123,885
87,10,2,3256,3256,1362,3013
88,10,2,1528,1528,4884,1230
89,10,2,1638,410,4019,462
90,10,2,1125,1125,5688,1016
91,10,3,3264,3264,6659,651
92,10,2,1562,625,4093,1489
93,10,2,928,232,5801,1054
94,10,2,1080,1080,1848,2588
95,-2,1,717,0,5400,1141
96,10,2,1787,1787,1292,3005
97,20,2,6640,889,4631,256
98,-2,1,1300,1300,2540,2001
99,20,2,1650,0,4160,5
100,10,2,925,0,5746,870
101,-2,5,2020,0,3558,728
102,20,2,3389,3389,1030,2533
103,10,2,1910,1910,415,3347
104,20,3,1185,234,4051,1632
105,20,2,5178,5178,6610,526
106,20,2,3528,2352,4720,1507
107,10,3,2290,2290,5293,1046
108,20,2,5725,5193,2651,1923
109,20,2,2082,1619,2322,2062
110,10,2,2340,2340,2625,2332
111,20,3,2520,2520,4779,1123
112,10,2,1891,1891,5553,1034
113,-2,4,1284,1284,4018,1706
114,10,2,828,828,6165,774
115,10,2,890,0,3206,2223
116,-2,5,761,761,5855,924
117,-2,1,1352,1352,1923,2811
118,10,2,1578,1578,903,3687
119,10,2,915,915,4777,1489
120,-2,5,612,612,4469,1618
121,-2,5,1237,247,4098,1528
122,10,2,1910,0,1364,3471
123,10,2,1051,1051,4958,1159
124,10,2,792,0,2020,437
125,40,2,3400,0,2039,415
126,-2,1,1350,1350,5286,632
127,-2,1,744,372,3517,1663
128,10,2,2733,2733,389,4287
129,20,3,4476,3924,1399,3072
130,10,2,1766,0,1054,1005
131,-2,4,1317,188,7220,524
132,20,2,3919,3919,4673,1239
133,20,2,2904,2904,2580,1995
134,20,2,3930,3930,2866,372
135,10,2,2640,2640,3853,1431
136,-2,5,1551,1551,1599,3112
137,20,2,6095,6095,5399,1176
138,20,2,2128,2128,1566,2658
139,20,3,1520,1520,6539,678
140,20,2,3176,3176,416,4192
141,10,2,2000,1438,5018,870
142,20,2,2368,526,3968,1815
143,-2,4,1436,479,5287,1096
144,20,2,1451,484,3885,548
145,10,2,1684,1010,6823,466
146,10,2,3655,3655,1590,3226
147,10,2,1418,142,5256,793
148,10,2,1873,1873,2276,2198
149,10,3,964,241,7619,699
150,-2,4,646,0,1957,695
151,10,2,2250,2250,3773,1961
152,10,2,2137,2137,1283,3120
153,10,2,2146,1746,2616,1959
154,10,2,2746,2746,2462,2495
155,10,2,1029,0,5885,776
156,10,2,1644,470,6449,711
157,20,2,2562,2562,2730,1547
158,-2,5,968,968,6612,546
159,-2,5,371,74,6784,569
160,20,2,1317,1317,4748,1292
161,10,2,1070,1470,2082,2472
162,-2,1,1848,462,5758,908
163,20,3,3312,3312,1402,2766
164,10,2,700,117,3713,460
165,10,2,2924,2924,2721,2441
166,-2,4,804,402,1300,3964
167,20,2,2049,1219,5580,941
168,10,3,1639,1639,3672,1531
169,10,2,809,485,1454,3429
170,10,2,1162,1162,4101,1533
171,10,2,1543,1543,1586,3176
172,10,2,1612,0,1346,3513
173,-2,5,0,0,0,5487
