,TVONWD2,PRKGPLC1,SIZRFRI1,INTERNET,TVTYPE2,WDPELLET,USENOTMOIST,USEEL,SIZEOFGARAGE,TOTSQFT_EN,TOTUCSQFT,OUTGRILLFUEL,OUTLET,WDOTHER,ELWATER,ATTICFIN,ELFOOD,ESCWASH,HDD30YR,CDD80,BEDROOMS,NCOMBATH,DNTHEAT,WASHLOAD,TEMPGONE,HIGHCEIL,FOPAY,TOTROOMS,PERIODEL,YEARMADERANGE,CELLAR,TVONWE2,EMPLOYHH,USECENAC,ROOFTYPE,TEMPNITE,NUMFRIG,WOODLOGS,SWIMPOOL,POOL,INWIRELESS,TYPEHUQ,WHEATAGE,LPWARM,NOTMOIST,ATTIC,BASECOOL,TEMPHOME,EQUIPAUX,COOLTYPE,CWASHER,AGEFRZR,ELCOOL,WASHTEMP,DRYRFUEL,STOVE,GARGHEAT,SDESCENT,WHEATSIZ,ATHOME,AGEDW,SOLWATER,STOVENFUEL,STOVEFUEL,AIRCOND,AGECWASH,AGERFRI2,AGECENAC,TEMPGONEAC,FUELH2O,DRAFTY,FOWATER,USENG,TVTYPE1,STORIES,AGECDRYER,SIZRFRI2,EDUCATION,TVONWD1,FUELPOOL,NHSLDMEM,RECBATH,BASEHEAT,UGWATER,EQUIPAGE,ATTCCOOL,OA_LAT,PERIODFO,WSF,OVENUSE,SOLOTHER,THERMAINAC,PERIODLP,ADQINSUL,DOOR1SUM,RNSETEMP,USEWOOD,HHAGE,MONEYPY,NUMBERAC,TOTCSQFT,EQUIPM,FUELTUB,NUMCFAN,PROTHERMAC,MICRO,STUDIO,WDWATER,ELOTHER,TYPERFR1,AGERFRI1,FUELHEAT,DRYRUSE,WDWARM,FOOTHER,LPGPAY,SIZFREEZ,BASEFIN,NUMFREEZ,ELWARM,UGWARM,FOWARM,NUMMEAL,OUTGRILL,UGOTH,TVSIZE1,ICE,HEATHOME,NHAFBATH,TEMPNITEAC,USEWWAC,STOVEN,AMTMICRO,LPWATER,USESOLAR,LPOTHER,OTHROOMS,PROTHERM,OVENFUEL,CDD30YR,TOPFRONT,LPCOOK,TEMPHOMEAC,WWACAGE,USEFO,FUEL_HEAT,KOWNRENT,USEMOISTURE,WINDOWS,HHSEX,CENACHP,MOISTURE,DISHWASH,WALLTYPE,FUELH2O2,TVSIZE2,THERMAIN,USELP,DRYER,HDD50,COFFEE,TVCOLOR,PERIODNG,TOTUSQFT,TYPEGLASS,ESDISHW,ESFRIG,AUDIT,TOTHSQFT,TVONWE1,GWT,ATTCHEAT,GARGCOOL,UGCOOK,NWEIGHT,OVEN,CDD65,DWASHUSE,HDD65,OCCUPYYRANGE,SWAMPCOL,TYPERFR2,UPRTFRZR,WOODAMT
1,1,0,4,1,1,-2,-2,1,-2,759,0,23,0,-2,1,-2,1,-2,2178,417,2,1,-2,-2,70,0,-2,4,5,5,0,2,2,-2,3,72,1,-2,0,-2,0,2,1,0,0,0,-2,75,1,2,0,41,1,-2,-2,0,-2,0,1,1,-2,0,5,-2,1,-2,-2,-2,80,5,4,0,0,1,10,-2,-2,2,5,-2,2,0,-2,0,1,-2,13.189,-2,0.4,5,0,-2,-2,2,0,-2,0,60,2,4,759,9,-2,3,-2,1,-2,0,1,21,1,5,-2,0,0,-2,2,-2,1,1,0,0,3,1,0,2,1,1,0,74,1,1,20,0,0,0,2,1,-2,2494,-2,0,76,3,0,5,1,1,20,1,-2,1,0,3,-2,1,1,0,0,466,0,2,-2,0,1,-2,1,0,759,5,67.36,-2,-2,0,14410.19627,0,2795,-2,1915,6,0,-2,2,-2.0
9,2,1,4,1,3,-2,-2,1,2,1230,400,-2,1,-2,1,0,1,1,1528,598,3,2,-2,20,70,0,-2,6,1,2,0,3,1,2,5,65,1,-2,0,-2,1,2,2,0,0,1,-2,70,1,1,1,-2,1,3,5,0,0,0,3,5,1,0,5,-2,1,3,-2,42,70,5,3,0,0,3,10,3,-2,4,3,-2,4,0,-2,0,42,0,12.178,-2,0.45,5,0,1,-2,3,0,3,0,48,6,-2,1230,3,-2,4,1,1,-2,0,1,21,1,5,20,0,0,-2,-2,-2,0,1,0,0,2,0,0,3,1,1,0,65,-2,1,15,0,0,0,3,1,-2,3022,1,0,67,-2,0,5,2,-2,42,1,0,0,1,1,-2,2,1,0,1,241,1,3,-2,400,1,1,1,0,1230,3,70.88,0,0,0,43359.15609,0,3390,19,1400,7,0,-2,-2,-2.0
11,2,0,3,1,1,-2,-2,1,-2,600,600,-2,1,-2,0,-2,0,0,4740,103,1,1,-2,1,64,0,-2,4,1,1,0,2,1,-2,5,68,1,-2,0,-2,1,2,2,0,0,0,-2,70,1,-2,1,-2,0,2,1,0,-2,0,1,5,-2,0,1,-2,0,3,-2,-2,-2,1,3,0,1,1,10,3,-2,3,2,-2,1,0,-2,1,42,-2,6.233,-2,0.53,1,0,-2,-2,3,0,2,0,24,1,-2,0,3,-2,2,-2,1,-2,0,1,22,3,5,1,0,0,-2,-2,-2,0,1,0,0,4,0,1,3,0,1,0,-2,-2,1,4,0,0,0,3,0,-2,1143,1,0,-2,-2,0,5,2,-2,30,1,-2,0,0,4,-2,3,1,0,1,1473,0,2,1,0,1,-2,0,-9,600,2,55.86,-2,-2,1,46656.39005,0,1706,-2,4007,8,-2,-2,-2,-2.0
12,4,1,3,1,1,-2,-2,1,2,1884,400,-2,1,-2,1,0,1,-9,1593,301,3,2,-2,5,50,0,-2,5,1,8,0,4,0,2,5,65,2,-2,0,-2,1,2,1,0,0,1,-2,69,1,1,1,-2,1,3,5,0,0,0,2,5,2,0,5,-2,1,1,42,1,75,5,3,0,1,1,10,1,3,2,3,-2,1,0,-2,0,2,0,21.604,-2,0.38,8,0,1,-2,3,0,3,0,83,2,-2,1884,3,-2,5,0,1,-2,0,1,21,3,5,5,0,0,-2,-2,-2,0,1,1,0,3,0,0,2,0,1,0,69,-2,1,25,0,0,0,2,1,-2,2650,1,0,70,-2,0,5,2,-2,41,1,0,0,1,1,-2,2,1,0,1,233,1,3,5,400,1,1,0,0,1884,3,70.79,0,0,0,19773.98254,0,2935,2,1327,8,0,21,-2,-2.0
13,1,-2,3,1,1,-2,-2,1,-2,782,586,-2,-2,-2,0,-2,1,-2,6882,46,2,1,-2,-2,55,0,-2,4,1,4,-2,1,1,-2,-2,55,1,-2,-2,-2,1,5,1,0,0,-2,-2,66,0,2,0,-2,1,-2,-2,0,-2,0,-2,0,-2,0,5,-2,1,-2,-2,-2,80,1,4,0,1,3,-2,-2,-2,4,2,-2,2,0,-2,1,5,-2,3.583,-2,0.57,6,0,-2,-2,2,0,-2,0,27,2,1,196,5,-2,0,-2,1,0,0,1,22,41,5,-2,0,0,-2,-2,-2,0,1,0,0,3,0,0,2,0,1,0,75,2,1,4,0,0,0,2,0,-2,604,-2,0,80,3,0,5,2,2,30,1,-2,1,0,1,-2,1,1,0,0,3134,1,2,5,0,2,-2,-8,0,782,3,48.86,-2,-2,0,13323.80513,0,674,-2,6449,8,-2,-2,-2,-2.0
15,2,-2,3,1,1,-2,-2,1,-2,1597,0,-2,-2,-2,1,-2,1,1,1308,475,3,2,-2,9,60,0,-2,6,2,8,-2,2,0,2,-2,66,1,-2,-2,-2,1,5,2,0,0,-2,-2,60,0,1,1,-2,1,3,5,0,-2,0,1,5,5,0,5,-2,1,1,-2,1,70,5,4,0,0,3,-2,2,-2,4,3,-2,5,0,-2,0,2,-2,23.238000000000003,-2,0.37,8,0,1,-2,2,2,3,0,33,7,-2,1597,3,-2,4,0,1,0,0,1,22,2,5,9,0,0,-2,-2,-2,0,1,0,0,1,0,0,3,0,1,1,66,-2,1,20,0,0,0,3,0,-2,2942,1,0,68,-2,0,5,2,-2,20,1,0,0,1,4,-2,2,1,0,1,130,1,2,-2,0,2,0,0,-9,1597,3,71.69,-2,-2,0,52454.76377,0,3705,9,1013,8,0,-2,-2,-2.0
23,1,-2,4,0,3,-2,-2,1,-2,1688,0,-2,-2,-2,1,-2,1,-9,3738,21,2,2,-2,2,74,1,-2,5,5,7,-2,1,0,1,-2,74,1,-2,-2,-2,-2,5,41,0,0,-2,-2,74,0,1,1,-2,1,2,5,0,-2,0,1,0,41,0,5,-2,1,41,-2,41,74,5,4,0,0,2,-2,41,-2,4,2,-2,1,0,-2,0,41,-2,7.791,-2,0.48,14,0,1,-2,1,0,3,0,85,2,-2,1688,3,-2,0,1,1,0,0,1,22,41,5,2,0,0,-2,-2,-2,0,1,0,0,4,0,0,3,0,1,0,71,-2,1,15,0,0,0,3,1,-2,1549,2,0,71,-2,0,5,2,-2,20,1,0,0,1,3,-2,1,1,0,1,1493,0,2,-2,0,2,-9,-9,0,1688,3,57.3,-2,-2,0,34846.5948,0,1369,2,3981,7,-2,-2,-2,-2.0
25,2,0,4,1,1,-2,-2,1,-2,1565,0,-2,0,-2,1,0,1,1,5109,76,3,2,-2,4,68,1,-2,5,1,5,0,1,1,3,2,72,1,-2,0,-2,1,3,41,0,0,1,-2,72,1,1,1,-2,1,2,5,0,-2,0,2,0,5,0,5,-2,1,3,-2,5,76,5,1,0,0,1,20,3,-2,4,2,-2,1,0,-2,0,5,0,5.263,-2,0.53,0,0,1,-2,3,1,2,0,49,6,-2,1565,3,-2,0,1,1,-2,0,1,5,1,5,4,0,0,-2,-2,-2,0,1,0,0,2,0,0,2,0,1,1,74,-2,1,7,0,0,0,2,1,-2,960,2,0,74,-2,0,5,1,5,30,1,1,1,1,3,-2,1,1,0,1,2044,0,2,-2,0,2,0,1,1,1565,2,50.67,0,-2,0,17241.34428,0,1205,0,4876,8,-2,-2,-2,-2.0
27,5,0,3,0,3,-2,-2,1,-2,1144,686,-2,0,-2,1,0,1,0,3802,123,3,1,-2,2,68,0,-2,5,1,4,0,5,0,-2,5,68,1,-2,0,-2,-2,2,3,0,0,1,-2,68,0,2,1,-2,1,3,5,0,-2,0,2,5,-2,0,5,-2,1,3,-2,-2,68,5,3,0,0,3,10,3,-2,2,5,-2,2,0,-2,0,5,0,9.485,-2,0.48,1,0,-2,-2,2,0,3,0,66,3,2,458,5,-2,2,-2,1,-2,0,1,21,5,5,2,0,0,-2,-2,-2,0,1,0,0,3,0,0,2,1,1,0,68,1,1,7,0,0,0,2,0,-2,1536,1,0,68,2,0,5,1,-2,41,2,-2,0,0,3,-2,2,1,0,1,1222,0,2,-2,0,2,-2,0,0,1144,5,58.19,0,-2,0,20302.2572,0,1780,-2,3585,6,-2,-2,-2,-2.0
32,1,-2,2,1,1,-2,-2,1,-2,994,994,-2,-2,-2,0,-2,1,-2,5541,29,2,1,-2,-2,65,0,-2,5,1,1,-2,1,0,-2,-2,70,1,-2,-2,-2,1,5,41,0,0,-2,-2,65,0,-2,0,2,0,-2,-2,0,-2,0,-2,3,41,0,5,-2,0,-2,-2,-2,-2,1,1,0,1,2,-2,-2,-2,4,3,-2,1,0,-2,1,41,-2,3.35,-2,0.51,2,0,-2,-2,4,0,-2,0,50,1,-2,0,10,-2,0,-2,1,0,0,1,1,41,5,-2,0,0,-2,2,-2,1,1,0,0,4,0,0,2,0,1,0,-2,-2,1,7,0,0,0,3,-2,-2,759,-2,0,-2,-2,0,5,2,-2,20,1,-2,0,1,1,-2,2,0,0,0,2371,1,4,5,0,1,0,0,-9,994,3,48.51,-2,-2,0,27889.56399,0,774,0,5401,7,-2,-2,2,-2.0
