,TVONWD2,PRKGPLC1,SIZRFRI1,INTERNET,TVTYPE2,WDPELLET,USENOTMOIST,USEEL,SIZEOFGARAGE,TOTSQFT_EN,TOTUCSQFT,OUTGRILLFUEL,OUTLET,WDOTHER,ELWATER,ATTICFIN,ELFOOD,ESCWASH,HDD30YR,CDD80,BEDROOMS,NCOMBATH,DNTHEAT,WASHLOAD,TEMPGONE,HIGHCEIL,FOPAY,TOTROOMS,PERIODEL,YEARMADERANGE,CELLAR,TVONWE2,EMPLOYHH,USECENAC,ROOFTYPE,TEMPNITE,NUMFRIG,WOODLOGS,SWIMPOOL,POOL,INWIRELESS,TYPEHUQ,WHEATAGE,LPWARM,NOTMOIST,ATTIC,BASECOOL,TEMPHOME,EQUIPAUX,COOLTYPE,CWASHER,AGEFRZR,ELCOOL,WASHTEMP,DRYRFUEL,STOVE,GARGHEAT,SDESCENT,WHEATSIZ,ATHOME,AGEDW,SOLWATER,STOVENFUEL,STOVEFUEL,AIRCOND,AGECWASH,AGERFRI2,AGECENAC,TEMPGONEAC,FUELH2O,DRAFTY,FOWATER,USENG,TVTYPE1,STORIES,AGECDRYER,SIZRFRI2,EDUCATION,TVONWD1,FUELPOOL,NHSLDMEM,RECBATH,BASEHEAT,UGWATER,EQUIPAGE,ATTCCOOL,OA_LAT,PERIODFO,WSF,OVENUSE,SOLOTHER,THERMAINAC,PERIODLP,ADQINSUL,DOOR1SUM,RNSETEMP,USEWOOD,HHAGE,MONEYPY,NUMBERAC,TOTCSQFT,EQUIPM,FUELTUB,NUMCFAN,PROTHERMAC,MICRO,STUDIO,WDWATER,ELOTHER,TYPERFR1,AGERFRI1,FUELHEAT,DRYRUSE,WDWARM,FOOTHER,LPGPAY,SIZFREEZ,BASEFIN,NUMFREEZ,ELWARM,UGWARM,FOWARM,NUMMEAL,OUTGRILL,UGOTH,TVSIZE1,ICE,HEATHOME,NHAFBATH,TEMPNITEAC,USEWWAC,STOVEN,AMTMICRO,LPWATER,USESOLAR,LPOTHER,OTHROOMS,PROTHERM,OVENFUEL,CDD30YR,TOPFRONT,LPCOOK,TEMPHOMEAC,WWACAGE,USEFO,FUEL_HEAT,KOWNRENT,USEMOISTURE,WINDOWS,HHSEX,CENACHP,MOISTURE,DISHWASH,WALLTYPE,FUELH2O2,TVSIZE2,THERMAIN,USELP,DRYER,HDD50,COFFEE,TVCOLOR,PERIODNG,TOTUSQFT,TYPEGLASS,ESDISHW,ESFRIG,AUDIT,TOTHSQFT,TVONWE1,GWT,ATTCHEAT,GARGCOOL,UGCOOK,NWEIGHT,OVEN,CDD65,DWASHUSE,HDD65,OCCUPYYRANGE,SWAMPCOL,TYPERFR2,UPRTFRZR,WOODAMT
0,1,1,3,1,1,-2,-2,1,2,1808,400,2,1,-2,0,-2,0,1,2640,118,3,2,-2,3,69,1,-2,7,1,7,0,2,1,3,1,60,1,-2,0,-2,1,2,41,0,0,0,-2,69,0,1,1,41,1,3,5,0,0,0,1,0,3,0,1,-2,1,3,-2,41,80,1,4,0,1,1,20,3,-2,2,2,-2,4,0,-2,1,41,-2,0.003,-2,0.5,0,0,1,-2,2,2,3,0,42,8,-2,1808,3,-2,5,1,1,-2,0,1,5,3,1,3,0,0,-2,2,-2,1,0,1,0,3,1,0,3,0,1,1,80,-2,1,10,0,0,0,4,1,-2,1332,2,0,78,-2,0,1,1,-2,41,2,0,0,1,4,-2,1,1,0,1,213,1,2,1,400,2,0,1,0,1808,3,62.27,-2,0,1,12085.16227,0,1768,6,2031,8,0,-2,2,-2.0
2,3,0,4,1,1,-2,-2,1,-2,2288,572,23,1,-2,0,-2,1,1,2714,126,4,2,-2,3,70,0,-2,9,1,4,1,3,1,1,5,68,2,-2,0,-2,1,2,41,0,0,0,1,70,1,3,1,-2,1,3,5,0,-2,0,3,5,3,0,5,-2,1,2,3,42,85,1,3,0,1,2,10,2,4,1,4,-2,4,0,1,1,42,-2,10.271,-2,0.37,14,0,1,-2,2,1,3,0,73,2,2,1716,3,-2,7,1,2,-2,0,1,21,41,1,3,0,0,-2,-2,1,0,1,1,0,2,1,0,2,1,1,0,75,4,2,14,0,0,0,5,1,-2,2059,2,0,75,1,0,1,1,-2,41,1,0,0,1,2,-2,2,1,0,1,634,1,4,1,858,1,0,0,0,1430,4,62.32,-2,-2,0,23325.95385,0,2235,7,2263,7,0,21,-2,-2.0
4,2,1,3,1,3,-2,1,1,1,1024,341,1,1,-2,0,0,0,0,5397,9,3,2,-2,2,62,0,-2,6,1,4,1,2,1,2,5,66,2,-2,0,-2,1,2,3,0,1,1,0,68,0,1,1,-2,1,2,5,1,0,0,2,0,-2,0,1,1,1,3,2,3,78,1,4,0,1,3,20,3,2,2,2,-2,3,0,0,1,3,0,4.527,-2,0.5,0,0,1,-2,2,1,2,0,51,3,-2,933,3,-2,2,0,1,-2,0,1,23,1,1,2,0,0,-2,-2,0,0,0,1,0,0,1,1,2,0,1,0,70,-2,1,6,0,0,0,3,0,1,871,1,0,72,-2,0,1,1,-2,30,2,0,0,0,1,-2,3,1,0,1,2462,1,5,1,341,1,-2,0,0,933,2,50.04,0,0,1,16717.67092,1,993,-2,5401,8,-2,1,-2,-2.0
6,-2,-2,3,0,-2,-2,-2,1,-2,832,0,-2,0,-2,0,-2,1,0,1795,239,2,1,-2,1,70,0,-2,4,1,3,-2,-2,1,2,5,72,1,-2,-2,-2,-2,4,41,0,0,-2,-2,73,0,1,1,-2,1,3,5,0,-2,0,-2,0,-2,0,5,-2,1,41,-2,41,75,1,4,0,1,1,-2,41,-2,5,2,-2,1,0,-2,1,41,-2,19.303,-2,0.43,1,0,1,-2,3,0,3,0,53,4,-2,832,3,-2,2,0,1,0,0,1,22,41,1,0,0,0,-2,-2,-2,0,0,1,0,3,0,0,1,0,1,0,73,-2,1,10,0,0,0,2,0,-2,2546,1,0,72,-2,0,1,2,-2,30,2,1,0,0,1,-2,-2,1,0,1,353,0,1,1,0,1,-2,1,0,832,2,69.19,-2,-2,0,45952.75539,0,2582,-2,1579,7,0,-2,-2,-2.0
7,1,1,3,1,1,-2,10,1,1,2682,2574,23,1,-2,0,1,1,1,7191,0,3,1,-2,5,62,0,-2,5,1,4,1,1,0,-2,5,64,1,-2,0,-2,1,2,42,0,1,1,0,66,0,2,1,41,1,2,5,0,0,0,2,5,3,0,5,-2,1,1,-2,-2,78,1,3,0,1,1,10,1,-2,2,4,-2,2,0,0,1,5,0,2.011,-2,0.61,6,0,-2,-2,2,1,3,0,67,3,2,358,3,-2,3,-2,1,-2,0,1,21,42,1,4,0,0,-2,3,1,1,0,1,0,1,1,0,3,0,1,0,74,2,1,50,0,0,0,2,1,-2,597,1,0,74,3,0,1,1,-2,30,1,-2,0,1,3,-2,3,1,0,1,3555,1,2,1,2038,2,1,0,0,894,4,45.18,0,0,0,15280.98355,0,673,4,6560,6,-2,-2,1,-2.0
14,2,1,4,1,3,-2,-2,1,2,4308,1328,2,1,-2,0,-2,1,1,6073,12,4,2,-2,3,60,0,-2,10,1,7,1,3,1,2,7,60,2,-2,0,-2,1,2,3,0,0,0,1,70,1,1,1,41,1,3,5,1,0,0,3,1,2,0,-2,1,1,2,41,41,80,1,4,0,1,2,20,2,3,5,3,-2,5,0,1,1,41,-2,0.0,-2,0.6,-2,0,1,-2,1,1,3,0,42,6,-2,3380,3,-2,2,1,1,-2,0,1,21,2,1,3,0,0,-2,4,0,1,1,1,0,3,1,0,3,1,1,1,70,-2,0,10,0,0,0,6,1,5,760,2,0,70,-2,0,1,1,-2,42,2,0,0,1,1,-2,3,1,0,1,2384,0,3,1,1328,2,1,1,0,3380,3,48.88,-2,0,1,8939.448526,2,1053,7,5274,8,0,22,1,-2.0
17,2,-2,3,1,1,-2,-2,1,-2,1222,1222,23,1,-2,0,-2,0,0,6524,15,2,1,-2,2,65,0,-2,5,1,1,-2,2,2,-2,5,65,2,-2,-2,-2,1,4,41,0,0,-2,-2,69,0,-2,1,-2,0,2,5,0,-2,0,1,0,41,0,1,-2,0,41,41,-2,-2,1,3,0,1,1,-2,41,4,4,3,-2,6,0,-2,1,41,-2,2.902,-2,0.65,2,0,-2,-2,2,0,3,0,59,3,-2,0,3,-2,4,-2,2,0,0,1,22,41,1,2,0,0,-2,-2,-2,0,0,1,0,4,1,0,1,0,1,0,-2,-2,2,5,0,0,0,3,1,-2,565,1,0,-2,-2,0,1,1,-2,41,1,-2,0,1,3,1,3,1,0,1,3302,1,4,1,0,1,0,0,0,1222,2,46.74,-2,-2,1,43752.28522,0,609,1,6647,7,-2,22,-2,-2.0
18,-2,1,3,1,-2,-2,-2,1,2,1664,400,23,1,-2,0,0,1,1,4748,1,2,2,-2,4,70,1,-2,5,1,6,0,-2,0,4,5,60,2,-2,0,-2,1,2,3,0,0,1,-2,70,1,1,1,3,1,1,5,1,0,0,2,5,1,0,-2,1,1,41,41,5,72,1,4,0,1,1,10,41,2,5,3,-2,2,0,-2,1,5,0,0.37,-2,0.56,-2,0,1,-2,2,2,3,0,80,4,-2,1664,3,-2,3,1,1,-2,0,1,21,41,1,4,0,0,-2,2,-2,1,1,1,0,1,1,0,3,1,1,0,72,-2,0,3,0,0,0,3,1,5,254,2,0,72,-2,0,1,1,-2,50,2,0,0,1,2,-2,-2,1,0,1,814,1,1,1,400,2,1,1,0,1664,2,52.58,0,0,1,12939.02491,1,521,7,3927,7,0,1,2,-2.0
20,2,0,4,1,1,-2,-2,1,-2,3008,3008,23,0,-2,0,-2,0,0,2508,12,2,1,-2,2,62,0,-2,7,1,1,1,2,1,-2,7,68,1,-2,0,-2,1,2,41,0,0,0,-2,72,1,-2,1,-2,0,2,5,0,-2,0,2,2,2,0,1,-2,0,2,-2,-2,-2,1,2,0,1,1,10,2,-2,5,4,-2,2,0,0,1,5,-2,0.0,-2,0.47,3,0,-2,-2,4,0,3,0,27,6,-2,0,7,-2,5,-2,3,-2,0,1,23,3,1,2,0,0,-2,-2,0,0,1,1,0,2,1,0,3,0,1,0,-2,-2,1,15,0,0,0,5,0,-2,307,1,0,-2,-2,0,1,2,-2,42,2,-2,0,1,4,-2,2,1,0,1,113,1,2,1,1504,1,0,0,0,1504,4,60.07,-2,-2,1,25946.70986,0,420,2,2034,8,0,-2,-2,-2.0
21,3,0,4,1,3,-2,-2,1,-2,2019,1514,23,0,-2,0,-2,0,1,3949,134,3,1,-2,3,75,0,-2,8,1,4,1,3,1,-2,3,70,2,-2,0,-2,1,3,41,0,0,0,0,75,0,2,1,2,1,3,5,0,-2,0,1,5,-2,0,1,-2,1,1,1,-2,65,1,3,0,1,3,20,2,1,2,4,-2,4,0,0,1,41,-2,5.68,-2,0.5,4,0,-2,-2,2,0,3,0,41,3,3,505,3,-2,1,-2,1,-2,0,1,22,2,1,5,0,0,-2,4,1,1,0,1,0,1,1,0,3,0,1,1,65,4,1,20,0,0,0,5,0,-2,1722,1,0,65,2,0,1,2,-2,30,1,-2,0,0,1,-2,2,1,0,1,1540,0,4,1,673,1,-2,1,-9,1346,4,52.15,-2,-2,1,28387.660560000004,0,1548,-2,4089,7,-2,-2,2,-2.0
